bis_id,stn_nm,lon,lat
4391461,기점,127.47443,36.64312
4391471,회차점,127.47763,36.64462
4391481,종점,127.47637,36.6443
4389171,청주국제공항,127.49548,36.72235
4373991,청주공항역,127.49132,36.72117
4374011,오창프라자,127.42821,36.71087
4300331,미래나노텍,127.4152,36.6928
4302971,청주소로초등학교,127.39184,36.6721
4370471,오송휴먼시아아파트,127.33228,36.62753
4301001,오송역,127.32723,36.61918
4326240,누리리,127.2923,36.53408
4322910,한별리,127.27619,36.53409
4322920,해밀리,127.26448,36.52952
4326040,세종충남대학교병원,127.25952,36.52163
4391700,도담동,127.2589,36.5147
4374050,정부세종청사북측,127.26138,36.50507
4374060,정부세종청사남측,127.25977,36.50163
4391710,다정동,127.2563,36.49468
4391890,새롬동.나성동,127.25724,36.48769
4391931,한솔동,127.26179,36.48094
4322570,세종고속시외터미널(지하),127.27321,36.47057
4391910,세종고속시외버스터미널,127.27374,36.46933
4391920,세종고속시외버스터미널,127.27403,36.46934
4322490,세종고속시외버스터미널(지하),127.27317,36.471
4322460,한솔동,127.26243,36.48045
4391670,새롬동.나성동,127.25805,36.48683
4391900,다정동,127.25659,36.49386
4374030,정부세종청사남측,127.25974,36.50066
4391680,정부세종청사북측,127.26127,36.50393
4391690,도담동,127.25915,36.51411
4326230,세종충남대학교병원,127.25965,36.52053
4322930,해밀리,127.26417,36.52877
4322960,한별리,127.27557,36.53375
4326260,누리리,127.29215,36.53392
4370541,오송중학교,127.33219,36.62709
4368151,보건의료행정타운,127.32984,36.63727
4302961,청주소로초등학교,127.3903,36.66962
4300341,미래나노텍,127.41568,36.69153
4373971,오창프라자,127.42829,36.71066
4366391,청주국제공항,127.49568,36.72247
4376091,남부종점,127.47063,36.6069
4359411,산남고등학교,127.46948,36.60915
4359421,푸르지오아파트,127.46485,36.60927
4359431,산남중학교,127.4644,36.61217
4375821,법원.검찰청,127.46693,36.6152
4362491,법원.검찰청,127.46888,36.6137
4359881,산남고등학교,127.47077,36.60868
4359441,미평.두지동,127.46808,36.6013
4359451,청소년꿈키움센터,127.46593,36.5988
4359461,혜원장애인종합복지관,127.46097,36.60095
4359471,한국수자원공사,127.45478,36.60377
4359481,도랫말,127.44893,36.6078
4359491,원농촌,127.44662,36.61102
4359501,가경주공3단지,127.44457,36.61442
4359511,가경주공2단지아파트,127.4438,36.61707
4359901,서원고등학교,127.44202,36.62017
4359521,가경삼일원앙아파트,127.44007,36.62335
4359531,가경대원아파트,127.43792,36.62615
4363481,서부소방서.터미널시장,127.43652,36.62758
4374651,고속.시외버스터미널,127.43218,36.62607
4368361,고속버스터미널,127.42997,36.6265
