stdr_ym,kbc_bzc_nm_1,kbc_bzc_nm_2,kbc_bzc_nm_3,card_sales,est_sales,gid
202305,서비스,(정기)납부/대여서비스,미디어/음향,989000,18995,다바989487
202305,서비스,(정기)납부/대여서비스,도서/음반대여,54000,844,다바989487
202305,서비스,의료서비스,한의원,5019200,83333,다바992490
202305,소매업,의류,여성의류,1600000,25979,다바990484
202305,소매업,패션잡화,구두제화,103500,3315,다바989483
202305,소매업,의류,캐쥬얼,2950500,35750,다바990487
202305,소매업,가구,일반가구,320000,13835,다바989479
202305,소매업,의류,일반의류(기타),341000,4527,다바991483
202305,소매업,의류,스포츠의류,5766200,55715,다바990481
202305,소매업,의류,일반의류(기타),425000,9360,다바990480
202305,소매업,사무/문구용품,사무용품,3452730,45400,다바991495
202305,소매업,건축/인테리어,조명기구/전기용품,1658000,54235,다바986482
202305,소매업,패션잡화,귀금속전문점,859000,7779,다바990482
202305,서비스,생활편의서비스,자동차정비/카센터,203000,9204,다바992492
202305,소매업,가정용품,커튼/침구,1559000,20307,다바989478
202305,서비스,생활편의서비스,인쇄업,16515380,,다바985495
202305,서비스,(정기)납부/대여서비스,미디어/음향,6765000,248297,다바984482
202305,소매업,차량판매,오토바이,4032000,55206,다바985482
202305,소매업,패션잡화,귀금속전문점,107000,1038,다바991482
202305,소매업,화장품/미용,원브랜드숍,2155800,23172,다바991490
202305,소매업,가정용품,커튼/침구,150000,4402,다바988481
202305,소매업,가정용품,주방용품,460200,31730,다바990477
202305,서비스,의료서비스,한의원,651600,19043,다바990481
202305,소매업,의약/의료기기,안경점,958700,8429,다바991478
202305,서비스,생활편의서비스,인쇄업,346500,6950,다바985497
202305,서비스,의료서비스,한의원,859700,31114,다바991477
202305,소매업,가구,일반가구,770000,33292,다바988479
202305,소매업,패션잡화,귀금속전문점,10000,97,다바991477
202305,음식,한식,일반한식/백반,4104000,35780,다바988486
202305,소매업,취미-음악,기타악기전문점,3121000,41650,다바986487
202305,소매업,가구,일반가구,680000,29401,다바988480
202305,소매업,가전제품,컴퓨터/주변기기,400000,48558,다바990494
202305,소매업,운동/레져용품,종합체육사,176000,2536,다바990479
202305,소매업,패션잡화,귀금속전문점,653000,12153,다바992479
202305,음식,한식,불고기전문점,19000,1318,다바994478
202305,소매업,가정용품,주방용품,12000,,다바987479
202305,소매업,가정용품,주방용품,14000,820,다바990479
202305,서비스,생활편의서비스,자동차정비/카센터,564000,25575,다바985496
202305,소매업,의류,스포츠의류,2313000,24138,다바990480
202305,음식,한식,일반한식/백반,378000,5891,다바993477
202305,소매업,의류,속옷/내의,1047000,20065,다바990480
202305,음식,한식,생선탕전문점,22000,184,다바985496
202305,소매업,의류,아동복,763740,16084,다바990481
202305,소매업,패션잡화,귀금속전문점,4060000,35328,다바989482
202305,소매업,패션잡화,잡화점,886000,25763,다바990484
202305,소매업,의류,일반의류(기타),232000,3080,다바989481
202305,음식,한식,일반한식/백반,291000,4202,다바986485
202305,서비스,생활편의서비스,자동차정비/카센터,1020000,37429,다바992483
202305,소매업,의류,일반의류(기타),38000,985,다바990479
202305,소매업,의약/의료기기,약국,3408110,91426,다바987487
202305,소매업,의약/의료기기,약국,636700,16218,다바992477
202305,소매업,의류,속옷/내의,1190100,23121,다바991477
202305,서비스,의료서비스,치과,1527000,35837,다바992478
202305,음식,한식,오리고기전문점,687000,8931,다바993484
202305,소매업,패션잡화,귀금속전문점,125000,436,다바986486
202305,서비스,생활편의서비스,가정용품수리,120000,2409,다바991481
202305,서비스,의료서비스,한의원,1007100,17659,다바994477
202305,소매업,가정용품,주방용품,156000,9665,다바987484
202305,소매업,가구,일반가구,1040000,40575,다바989479
