gid,repo_2018,repo_2019,repo_2020,repo_2021,repo_2022
라바122456,1.0,0.0,0.0,0.0,0.0
다바841455,1.0,1.0,0.0,0.0,0.0
라바189471,0.0,0.0,0.0,0.0,0.0
다바852482,2.0,4.0,3.0,1.0,1.0
다바959488,32.0,43.0,25.0,23.0,32.0
다바962497,88.0,67.0,94.0,15.0,12.0
라바012478,31.0,30.0,36.0,38.0,26.0
다바912433,0.0,0.0,1.0,0.0,0.0
라바044579,0.0,0.0,0.0,0.0,1.0
라바013621,2.0,0.0,0.0,0.0,0.0
다바923570,13.0,20.0,21.0,9.0,8.0
라바058577,0.0,0.0,0.0,0.0,0.0
다바885418,0.0,0.0,0.0,0.0,0.0
다바891529,0.0,0.0,0.0,0.0,2.0
다바979425,0.0,0.0,0.0,2.0,0.0
다바992510,28.0,23.0,23.0,16.0,19.0
다바880512,0.0,0.0,0.0,0.0,0.0
다바951468,76.0,43.0,25.0,116.0,33.0
다바911551,0.0,1.0,0.0,0.0,2.0
다바924478,1.0,3.0,1.0,2.0,2.0
라바026630,0.0,0.0,0.0,0.0,0.0
라바008626,2.0,0.0,0.0,0.0,2.0
라바024551,0.0,0.0,0.0,2.0,0.0
다바851505,0.0,0.0,0.0,0.0,0.0
라바024546,0.0,2.0,0.0,1.0,0.0
다바950478,47.0,24.0,33.0,23.0,36.0
다바940554,0.0,0.0,0.0,0.0,0.0
다바960482,13.0,11.0,17.0,30.0,34.0
다바986505,45.0,23.0,9.0,16.0,13.0
다바839476,0.0,0.0,0.0,0.0,2.0
라바077420,0.0,0.0,0.0,0.0,0.0
다바950458,0.0,1.0,1.0,1.0,6.0
라바159448,2.0,0.0,2.0,0.0,0.0
다바951467,113.0,110.0,108.0,129.0,120.0
다바922301,0.0,0.0,3.0,2.0,0.0
다바950292,0.0,1.0,0.0,0.0,2.0
다바886565,0.0,0.0,0.0,0.0,0.0
다바958494,41.0,41.0,24.0,27.0,36.0
다바985445,0.0,1.0,0.0,1.0,0.0
다바965583,0.0,3.0,0.0,1.0,1.0
다바930475,77.0,39.0,35.0,34.0,62.0
다바845460,4.0,3.0,0.0,2.0,1.0
다바939452,0.0,0.0,0.0,0.0,0.0
라바027470,0.0,0.0,0.0,2.0,1.0
라바190479,0.0,0.0,0.0,0.0,0.0
라바058405,0.0,1.0,0.0,0.0,2.0
다바939489,34.0,32.0,12.0,24.0,32.0
라바059632,0.0,2.0,0.0,0.0,0.0
다바999599,0.0,0.0,0.0,0.0,0.0
다바944409,3.0,3.0,0.0,1.0,1.0
라바014448,2.0,6.0,7.0,0.0,2.0
라바090456,0.0,0.0,1.0,0.0,0.0
라바041559,0.0,0.0,0.0,0.0,1.0
다바998390,0.0,1.0,2.0,3.0,0.0
다바895611,0.0,0.0,0.0,0.0,0.0
다바933495,43.0,43.0,28.0,35.0,16.0
라바059567,0.0,0.0,0.0,0.0,0.0
다바997369,0.0,0.0,1.0,0.0,0.0
다바997380,0.0,0.0,2.0,0.0,0.0
다바881506,0.0,0.0,0.0,0.0,0.0
다바966492,33.0,24.0,30.0,30.0,26.0
다바936564,3.0,5.0,4.0,7.0,1.0
다바954461,5.0,13.0,14.0,16.0,5.0
다바942404,3.0,1.0,2.0,2.0,2.0
라바006375,0.0,1.0,0.0,0.0,0.0
라바023393,0.0,0.0,1.0,0.0,0.0
다바913452,1.0,1.0,2.0,0.0,0.0
라바022333,0.0,0.0,0.0,0.0,0.0
라바022376,0.0,0.0,0.0,0.0,0.0
다바964484,501.0,356.0,311.0,341.0,355.0
라바060398,0.0,0.0,0.0,0.0,0.0
라바197491,0.0,0.0,1.0,0.0,0.0
다바840573,0.0,0.0,0.0,0.0,0.0
다바968478,19.0,34.0,23.0,20.0,24.0
라바112487,0.0,0.0,0.0,0.0,0.0
라바104515,0.0,0.0,0.0,0.0,0.0
다바951482,10.0,21.0,7.0,26.0,21.0
다바979528,1.0,1.0,0.0,0.0,0.0
다바844478,5.0,10.0,3.0,8.0,6.0
다바982571,1.0,3.0,0.0,1.0,1.0
라바024286,0.0,0.0,0.0,0.0,0.0
다바931416,33.0,6.0,10.0,6.0,10.0
라바165449,0.0,0.0,0.0,0.0,0.0
다바968530,0.0,0.0,0.0,0.0,0.0
다바994533,1.0,0.0,0.0,3.0,0.0
다바885520,10.0,13.0,15.0,5.0,13.0
다바993480,45.0,49.0,48.0,38.0,33.0
라바134467,0.0,0.0,0.0,0.0,0.0
다바819475,0.0,0.0,0.0,0.0,0.0
다바994356,16.0,5.0,19.0,17.0,16.0
다바971486,33.0,33.0,28.0,35.0,32.0
라바059394,1.0,0.0,3.0,1.0,7.0
라바199472,2.0,2.0,0.0,4.0,3.0
다바956412,1.0,3.0,3.0,0.0,0.0
라바054403,0.0,0.0,0.0,0.0,1.0
라바139501,0.0,0.0,0.0,0.0,0.0
다바938434,0.0,0.0,2.0,0.0,0.0
다바939394,0.0,4.0,6.0,4.0,8.0
다바920425,0.0,0.0,5.0,0.0,0.0
라바023546,4.0,7.0,2.0,3.0,1.0
다바857576,0.0,0.0,3.0,0.0,0.0
다바925595,2.0,3.0,0.0,0.0,2.0
다바964604,1.0,0.0,3.0,0.0,0.0
라바013389,0.0,0.0,0.0,0.0,0.0
라바108454,0.0,1.0,0.0,0.0,0.0
라바089423,0.0,0.0,0.0,0.0,0.0
다바990496,54.0,49.0,51.0,56.0,50.0
라바058633,1.0,1.0,1.0,1.0,0.0
다바947449,6.0,7.0,1.0,2.0,3.0
다바957350,0.0,0.0,0.0,0.0,0.0
다바949480,14.0,26.0,28.0,22.0,27.0
다바860548,0.0,0.0,1.0,0.0,0.0
다바984520,85.0,54.0,52.0,41.0,47.0
다바977518,13.0,29.0,10.0,21.0,11.0
다바942569,15.0,51.0,38.0,27.0,19.0
다바968525,2.0,2.0,1.0,0.0,1.0
라바013437,0.0,0.0,1.0,2.0,3.0
라바120465,1.0,2.0,0.0,1.0,0.0
라바198495,0.0,0.0,0.0,0.0,0.0
다바892432,0.0,0.0,0.0,0.0,0.0
라바023389,1.0,0.0,0.0,0.0,0.0
다바950440,0.0,2.0,1.0,0.0,4.0
다바985444,1.0,0.0,2.0,1.0,3.0
다바971461,5.0,3.0,2.0,4.0,3.0
라바003540,1.0,1.0,0.0,0.0,0.0
라바095545,1.0,1.0,0.0,0.0,0.0
다바878450,0.0,0.0,0.0,0.0,0.0
다바894417,0.0,1.0,1.0,1.0,0.0
다바976501,9.0,20.0,43.0,20.0,12.0
다바852468,3.0,1.0,0.0,1.0,0.0
라바036402,0.0,0.0,0.0,0.0,2.0
다바923513,0.0,1.0,0.0,1.0,0.0
다바978493,11.0,8.0,8.0,11.0,7.0
다바843451,1.0,0.0,0.0,0.0,0.0
라바168513,3.0,1.0,2.0,1.0,0.0
라바131517,1.0,0.0,2.0,2.0,1.0
다바968487,14.0,28.0,19.0,18.0,26.0
라바071580,0.0,0.0,0.0,0.0,0.0
라바037405,4.0,3.0,0.0,0.0,0.0
라바139550,0.0,0.0,0.0,0.0,0.0
다바840471,0.0,0.0,0.0,2.0,1.0
라바054617,1.0,2.0,0.0,1.0,0.0
다바956591,7.0,8.0,15.0,20.0,20.0
라바002443,2.0,4.0,6.0,10.0,19.0
다바825459,0.0,0.0,0.0,0.0,0.0
라바041589,0.0,0.0,0.0,0.0,0.0
다바925479,7.0,0.0,0.0,0.0,1.0
다바990538,0.0,1.0,0.0,0.0,0.0
라바018546,0.0,0.0,0.0,0.0,1.0
라바078427,0.0,0.0,2.0,0.0,1.0
다바977507,2.0,1.0,3.0,0.0,3.0
다바954462,3.0,7.0,5.0,4.0,4.0
라바124476,0.0,0.0,0.0,0.0,0.0
다바953476,17.0,28.0,25.0,33.0,25.0
라바066474,0.0,0.0,0.0,0.0,1.0
라바088471,0.0,0.0,0.0,0.0,0.0
다바960493,16.0,5.0,3.0,1.0,1.0
라바067613,0.0,0.0,0.0,0.0,0.0
다바956580,0.0,1.0,0.0,0.0,0.0
다바963500,59.0,32.0,24.0,19.0,21.0
다바945470,6.0,17.0,12.0,7.0,7.0
라바024561,0.0,0.0,2.0,0.0,0.0
다바917324,1.0,0.0,0.0,1.0,1.0
라바031573,0.0,0.0,0.0,0.0,0.0
라바039393,3.0,1.0,0.0,0.0,0.0
라바011542,0.0,0.0,1.0,0.0,0.0
다바930573,25.0,22.0,22.0,52.0,23.0
다바974469,24.0,33.0,27.0,35.0,20.0
라바060566,0.0,0.0,0.0,0.0,0.0
다바995454,37.0,40.0,50.0,30.0,54.0
다바891430,0.0,0.0,0.0,0.0,2.0
라바062407,1.0,0.0,0.0,0.0,0.0
다바921461,2.0,0.0,0.0,0.0,0.0
라바092520,0.0,0.0,0.0,0.0,0.0
다바965502,55.0,33.0,53.0,29.0,44.0
라바012516,3.0,4.0,3.0,2.0,4.0
다바925333,1.0,0.0,3.0,0.0,2.0
다바999384,0.0,0.0,0.0,0.0,0.0
라바031539,0.0,0.0,0.0,0.0,0.0
라바055495,2.0,2.0,1.0,1.0,0.0
다바958624,0.0,0.0,0.0,0.0,0.0
다바953426,1.0,2.0,0.0,0.0,0.0
라바057631,0.0,0.0,1.0,0.0,0.0
다바960599,5.0,15.0,11.0,10.0,12.0
라바057403,0.0,1.0,0.0,0.0,0.0
다바977476,44.0,55.0,47.0,56.0,74.0
다바956423,0.0,0.0,0.0,0.0,0.0
다바908489,0.0,0.0,0.0,0.0,0.0
다바993621,1.0,0.0,0.0,0.0,0.0
