adm_cd,adm_nm,year,m_pop,fm_pop
4311131000,충청북도 청주시 상당구 낭성면,201701,1232,1140
4311132000,충청북도 청주시 상당구 미원면,201701,2757,2636
4311133000,충청북도 청주시 상당구 가덕면,201701,2259,2066
4311134000,충청북도 청주시 상당구 남일면,201701,3901,3746
4311135000,충청북도 청주시 상당구 문의면,201701,2383,2165
4311152500,충청북도 청주시 상당구 중앙동,201701,3274,3234
4311154500,충청북도 청주시 상당구 성안동,201701,3216,3185
4311162000,충청북도 청주시 상당구 탑대성동,201701,5585,5716
4311167000,충청북도 청주시 상당구 영운동,201701,5913,5944
4311168000,충청북도 청주시 상당구 금천동,201701,16441,16892
4311169000,충청북도 청주시 상당구 용담.명암.산성동,201701,5806,5948
4311172000,충청북도 청주시 상당구 용암1동,201701,22004,22014
4311173000,충청북도 청주시 상당구 용암2동,201701,11937,12127
4311231000,충청북도 청주시 서원구 남이면,201701,4509,4166
4311232000,충청북도 청주시 서원구 현도면,201701,1947,1870
4311251000,충청북도 청주시 서원구 사직1동,201701,4832,4649
4311252000,충청북도 청주시 서원구 사직2동,201701,7862,8201
4311253000,충청북도 청주시 서원구 사창동,201701,8092,8262
4311254000,충청북도 청주시 서원구 모충동,201701,8568,8616
4311255000,충청북도 청주시 서원구 산남동,201701,14827,14817
4311256000,충청북도 청주시 서원구 분평동,201701,17057,17748
4311257000,충청북도 청주시 서원구 수곡1동,201701,7970,7870
4311258000,충청북도 청주시 서원구 수곡2동,201701,7788,7808
4311259000,충청북도 청주시 서원구 성화.개신.죽림동,201701,24520,25403
4311325000,충청북도 청주시 흥덕구 오송읍,201701,10898,11087
4311331000,충청북도 청주시 흥덕구 강내면,201701,5491,5325
4311332000,충청북도 청주시 흥덕구 옥산면,201701,5949,5451
4311370000,충청북도 청주시 흥덕구 운천.신봉동,201701,10000,10068
4311374100,충청북도 청주시 흥덕구 복대1동,201701,26887,26649
4311374200,충청북도 청주시 흥덕구 복대2동,201701,9188,8795
4311374700,충청북도 청주시 흥덕구 가경동,201701,25483,26792
4311375100,충청북도 청주시 흥덕구 봉명1동,201701,6299,5729
4311375600,충청북도 청주시 흥덕구 봉명2.송정동,201701,14288,13073
