park_gbn,park_nm,lon,lat
근린공원,금천배수지,127.5131108,36.62627076
어린이공원,사랑,127.5095851,36.62940416
어린이공원,늘푸름,127.5110725,36.62586663
어린이공원,으뜸,127.5105177,36.62317346
소공원,금남,127.5049257,36.62204177
소공원,쇠내,127.5031898,36.62544376
소공원,꽃산,127.5068175,36.6251293
소공원,쇠내울,127.5028132,36.62992702
소공원,쌈지,127.5086631,36.62483586
체육공원,호미골체육공원,127.5127748,36.6297548
근린공원,당산공원,127.495794,36.63546305
소공원,경로,127.4964208,36.63510116
소공원,고덕,127.4971848,36.63414386
소공원,동심,127.4987492,36.6344593
소공원,(구)여성회관 앞,127.4895983,36.64005036
소공원,일신여중,127.4983541,36.62784576
소공원,벚나무길,127.5014212,36.63042968
소공원,탑,127.5005848,36.62856633
가로공원,벗나무가로공원,127.4972182,36.62506818
소공원,모충,127.491327,36.62291639
소공원,남들,127.4770813,36.62716643
근린공원,사직2공원,127.471309,36.63520018
어린이공원,샛별,127.4776966,36.64245351
어린이공원,희망,127.4801727,36.64090308
어린이공원,복지,127.4780619,36.63872534
어린이공원,사직,127.4814554,36.63828139
소공원,사직1쌈지,127.4768864,36.63732627
소공원,사직2쌈지,127.4776332,36.63662428
어린이공원,중암,127.4839995,36.653678
어린이공원,새싹,127.4862023,36.65327821
어린이공원,청암,127.4828769,36.64962866
어린이공원,우암,127.4858475,36.6474491
어린이공원,덕암,127.4842461,36.65585736
소공원,성공,127.4931211,36.64961688
소공원,서답골,127.49436,36.64959372
어린이공원,남주,127.4836192,36.63112274
테마공원,청주중앙공원,127.4876013,36.63273862
근린공원,상당공원,127.4914017,36.63694027
근린공원,당산공원,127.4948923,36.63491553
광장,청주청소년광장,127.4884349,36.63938761
근린공원,옛청주역사공원,127.4889232,36.64086935
