구 분,노 선,구 간,연장(km),계,버짐,은행,느티,벚,버드,칠엽수,메타,중국단풍,단풍,배롱,자귀,주목,향나무,회화,귀룽,무궁화,노각,느릅,이팝,목백합,계수,감,산수유,사과,매실,살구,모과,반송,대왕참,대추,개목련,둥근소나무,수수꽃다리,튤립나무,공작단풍,소나무,산딸나무
상당구,제2순환로,지북교차로 장암사거리,1.7,2039,,,,,,,434,,,,,,,,,1605,,,,,,,,,,,,,,,,,,,,,
서원구,제2순환로,장암사거리 가마교차로,1.41,362,,,,,,,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서원구,제2순환로,가마교차로 죽림사거리,3.38,712,,,,,,,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,제2순환로,죽림사거리 시외버스터미널사거리,1.66,418,,190,,,,,192,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상당구,금관로,청주시경계(청천면) 금관교,2,137,,,,83,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상당구,낭성시내길,무성삼거리 호정삼거리(마을안길),0.88,87,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상당구,산성로,현암삼거리 무성삼거리,1.48,126,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상당구,산성로,호정삼거리 관정삼거리,2.58,136,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상당구,호정대신로,호정삼거리 대신삼거리,9.69,146,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상당구,수영로,청주동중학교사거리 용정축구공원교차로,1.12,191,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
상당구,산성로,무성삼거리 호정삼거리,4.49,506,,,,,,,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상당구,명암로,대림아파트사거리 어린이회관삼거리,5.2,746,7,,,560,,,,,,,,,,,,74,105,,,,,,,,,,,,,,,,,,,,
상당구,제1순환로,우암산터널 용성중학교오거리,3.14,600,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,
상당구,제1순환로,용성중학교오거리 용암지하차도사거리,0.99,134,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,
상당구,제1순환로,용암지하차도사거리 용암농협사거리,1.46,290,224,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,
상당구,제1순환로,용암농협사거리 방서교,0.88,127,102,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상당구,제1순환로 1253번길,1순환로 용암광장내,0.12,14,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
상당구,제1순환로 1446번길,용암지하차도우회차도시점 종점,0.58,111,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,
상당구,제1순환로 1514번길,용성중학교오거리 김수녕양궁장,0.75,139,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,
상당구,가산길,비행장입구,1.75,25,6,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상당구,갈산무성길,갈산보건진료소 무성삼거리,2.25,381,,,,,,,,,,,,,,,,,,,381,,,,,,,,,,,,,,,,,,
상당구,고은두산로,인차교 노동교,1.27,171,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,
상당구,고은두산로,노동교 고은삼거리,4.7,512,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상당구,괴산로,청주시경계(청안면) 청주시경계(청천면),2.88,189,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
